Game Name,Game Link,Developer Name,Publisher Name,Game Genre,Platform,Style Genre,Release Date,Price,Rating,Positive Review,Review
Unholy Heights,https://store.steampowered.com/app/249330/Unholy_Heights/?snr=1_7_7_240_150_4,Petit Depotto,Petit Depotto,"Immersive Sim,Creature Collector,Tower Defense,City Builder,Auto Battler,Management,Building,Real-Time,RTS,Strategy,2D,Cute,Dark Humor,Funny,Casual,Simulation,Hand-drawn,Cartoony,Zombies,Lovecraftian","music, win","2D,Cute,Hand-drawn,Cartoony","16 Aug, 2013",5 255₴,9,0.9,1018
Banished,https://store.steampowered.com/app/242920/Banished/?snr=1_7_7_240_150_2,Shining Rock Software LLC,Shining Rock Software LLC,"City Builder,Colony Sim,Strategy,Simulation,Survival,Indie,Singleplayer,Sandbox,Medieval,Relaxing,Resource Management,Economy,Building,Management,Open World,Difficult,Beautiful,Procedural Generation,Historical,RTS",win,,"18 Feb, 2014",279₴,9,0.89,34667
Total War: EMPIRE – Definitive Edition,https://store.steampowered.com/app/10500/Total_War_EMPIRE__Definitive_Edition/?snr=1_7_7_240_150_1,"CREATIVE ASSEMBLY, Feral Interactive (Mac), Feral Interactive (Linux)","CREATIVE ASSEMBLY, Feral Interactive (Mac), Feral Interactive (Linux)","Strategy,Historical,Military,Grand Strategy,Turn-Based Strategy,War,Tactical,RTS,Multiplayer,Singleplayer,Turn-Based,Naval,America,Real Time Tactics,Great Soundtrack,Action,Turn-Based Tactics,Atmospheric,Classic,Adventure","linux, mac, win",,"4 Mar, 2009",399₴,9,0.89,16386
Wargame: Red Dragon,https://store.steampowered.com/app/251060/Wargame_Red_Dragon/?snr=1_7_7_240_150_1,Eugen Systems,Eugen Systems,"Strategy,RTS,Military,Realistic,Wargame,Cold War,Tactical,Multiplayer,Real Time Tactics,War,Simulation,Naval,Alternate History,Singleplayer,Real-Time,Action,Co-op,Difficult,Epic,Adventure","linux, mac, win",Realistic,"17 Apr, 2014",2 063₴,9,0.89,13509
Going Medieval,https://store.steampowered.com/app/1029780/Going_Medieval/?snr=1_7_7_240_150_1,Foxy Voxel,Foxy Voxel,"Early Access,City Builder,Medieval,Colony Sim,Strategy,Simulation,Building,Survival,Base Building,Management,Crafting,Sandbox,RPG,Open World,Resource Management,RTS,Singleplayer,3D,Procedural Generation,Stylized","music, win","3D,Stylized","1 Jun, 2021",926₴,9,0.89,11606
Ultimate General: Civil War,https://store.steampowered.com/app/502520/Ultimate_General_Civil_War/?snr=1_7_7_240_150_2,Game-Labs,Game-Labs,"Strategy,War,Historical,RTS,Simulation,Tactical,Military,Wargame,America,Singleplayer,Indie,Real Time Tactics,Grand Strategy,Realistic,Tabletop,Atmospheric,Turn-Based Strategy,Strategy RPG,Early Access,Board Game","mac, win",Realistic,"14 Jul, 2017",1 080₴,9,0.89,6714
The Wandering Village,https://store.steampowered.com/app/1121640/The_Wandering_Village/?snr=1_7_7_240_150_1,Stray Fawn Studio,Stray Fawn Studio,"Early Access,Sandbox,Procedural Generation,Nature,City Builder,RTS,Strategy,Base Building,Cute,Survival,Relaxing,Post-apocalyptic,Roguelike,Singleplayer,Resource Management,Economy,Real-Time with Pause,Family Friendly,Emotional,Management","music, linux, mac, win",Cute,"14 Sep, 2022",759₴,9,0.89,3127
Circle Empires,https://store.steampowered.com/app/834740/Circle_Empires/?snr=1_7_7_240_150_3,Luminous,Luminous,"Strategy,Indie,Casual,RTS,Fantasy,Real-Time,Singleplayer,Multiplayer,2D","music, linux, mac, win",2D,"8 Aug, 2018",711₴,9,0.89,3030
Commandos: Behind Enemy Lines,https://store.steampowered.com/app/6800/Commandos_Behind_Enemy_Lines/?snr=1_7_7_240_150_2,Pyro Studios,Pyro Studios,"Strategy,Stealth,Tactical,World War II,Action,Classic,RTS,Difficult,Real Time Tactics,Isometric,Military,1990's,Singleplayer,Co-op,War,Historical,Retro",win,Isometric,"28 Aug, 1998",110₴,9,0.89,2777
Men of War™,https://store.steampowered.com/app/7830/Men_of_War/?snr=1_7_7_240_150_3,"Best Way, Digitalmindsoft","Best Way, Digitalmindsoft","Strategy,World War II,RTS,Tactical,Multiplayer,Military,Real Time Tactics,Realistic,War,Co-op,Action,Singleplayer,Moddable,Simulation,Historical,Level Editor,Mod,Shooter,Real-Time,Sandbox",win,Realistic,"6 May, 2009",2 620₴,9,0.89,2631
